"Kentucky",10544,10209,9640,9452,8660,8240,8389,8464,7917,6538,5947,5246,5061,4749,4527,4471
"Louisiana",18035,17529,16882,16352,15435,15537,15694,14406,13588,12591,11611,11111,10741,10603,10303,10158
"Maryland",21109,20769,20679,20050,19687,19018,18724,18053,16694,15522,13571,12836,12761,12468,12550,12076
"Mississippi",9028,9454,9348,9465,9080,7868,7434,7690,7259,6412,6023,5665,5337,5204,4618,4385
"North Carolina",28833,29212,26961,25647,22637,20963,19683,18070,17654,16783,16485,16584,17065,16742,15762,14884
"Oklahoma",13558,13578,13808,13355,12266,11000,11184,10201,9674,9029,8297,7778,7164,6706,6542,6687
"South Carolina",19667,19358,18700,17868,16533,15988,15512,15223,14724,14050,12352,10482,9844,9364,8502,8346
"Tennessee",14861,14490,13130,12622,12174,11106,10351,9086,8144,7393,6957,6887,6785,6646,6929,7497
"Texas",134178,130051,122450,119831,91934,66320,58691,49186,47846,41953,38789,37279,36789,35938,34987,33789
"Virginia",24844,23410,23805,22664,20142,17588,16269,16259,13999,13882,12361,11125,10782,10403,9409,8886
"West Virginia",2664,2274,2331,2249,1839,1726,1594,1500,1489,1500,1416,1408,1431,1686,1551,1606
,,,,,,,,,,,,,,,,
"West",232233,224383,213265,198632,184602,175582,162547,152788,142927,130288,116155,103694,93602,82315,73481,67492
"Alaska",2390,2993,2781,2652,2589,2581,2386,2369,2255,2344,2200,2022,1905,1826,1627,1284
"Arizona",23531,21924,20978,19909,18473,16774,15476,14476,13426,12471,11381,10339,8948,8134,7482,6566
"California",148078,144392,135481,126079,117390,112370,102749,95506,90807,81297,71278,62823,55920,47248,40892,37353
"Colorado",10597,9744,9473,8800,8597,8412,7957,7868,6365,6049,5402,4559,3631,3238,3089,3105
"Hawaii",3197,3685,3031,2608,2746,2658,2526,2305,2247,2136,2016,1969,1880,1770,1647,1432
"Idaho",3178,3082,3028,2882,2346,2356,2055,1952,1739,1538,1414,1271,1358,1266,1139,1085
"Montana",2131,1776,1516,1536,1625,1474,1385,1371,1324,1245,1192,1139,1045,1057,788,759
"Nevada",8552,7992,7506,7078,6425,5740,5556,5397,5236,4951,4567,4106,2189,3562,3270,3020
"New Mexico",3134,3265,4352,3915,3642,3291,3104,2975,3174,2825,2604,2535,4183,2102,1954,1868
"Oregon",8158,7342,7922,7362,6545,6209,6154,6207,5913,5463,4489,4131,3827,3556,3313,3207
"Utah",4804,4598,4297,3767,3085,2922,2838,2657,2416,2336,1946,1740,1580,1606,1495,1183
"Washington ",13170,12303,11667,10884,10147,9759,9361,8663,7003,6690,6786,6190,6326,6266,6118,5982
"Wyoming",1313,1287,1233,1160,992,1036,1000,1042,1022,943,880,870,810,684,667,648
,,,,,,,,,,,,,,,,
"Note:  Definitions of terms and notes pertaining to individual jurisdictions can be found",,,,,,,,,,,,,,,,
"in the most recent edition of ""Correctional Populations in the United States,"" which can be  ",,,,,,,,,,,,,,,,
"located at www.ojp.usdoj.gov/bjs/pubalp2.htm#Correctional Populations in the United States.",,,,,,,,,,,,,,,,
