"2   Law Enforcement Management and Administrative Statistics, 1993",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2   Law Enforcement Management and Administrative Statistics, 1993",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 1a. - continued",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Table 1a. - continued",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"  Officers assigned",,,,,,,"Officers",,"       Percent change in",,,,,,,,,,,,,,,,
,,"    Full-time employees, 1993",,,,,,,"  to respond to ",,,,," City or ",,"per",,"       number of full-time",,,,,,,,,,,,,,,,
,,,,"    Sworn officers",,,,,"  calls for service",,,,," county",,"10,000",,"       employees, 1990-93",,,,,,,,,,,,,,,,
"County","Name of agency","   Total",,"Number",,"Percent",,,"Number",,"Percent",,," population",,"residents",,"   Total",," Sworn",,"Civilian",,,,,,,"Civilian",,,,"County","Name of agency"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONNECTICUT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CONNECTICUT",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fairfield","Bridgeport Police",466,,396,,85,"%",,300,,76,"%",,141686,,28,,4,"%",2,"%",23,"%",,,,,,70,446,389,57,"Fairfield","Bridgeport Police"
"Fairfield","Danbury Police",134,,128,,96,,,60,,47,,,65585,,20,,(6),,(5),,(25),,,,,,,6,143,135,8,"Fairfield","Danbury Police"
"Fairfield","Greenwich Police",185,,158,,85,,,100,,63,,,58441,,27,,2,,0,,13,,,,,,,27,182,158,24,"Fairfield","Greenwich Police"
"Fairfield","Norwalk Police",198,,169,,85,,,140,,83,,,78331,,22,,(1),,3,,(19),,,,,,,29,200,164,36,"Fairfield","Norwalk Police"
"Fairfield","Stamford Police",321,,286,,89,,,247,,86,,,108056,,26,,(4),,(4),,0,,,,,,,35,334,299,35,"Fairfield","Stamford Police"
"Hartford","Bristol Police",111,,103,,93,,,68,,66,,,60640,,17,,2,,2,,0,,,,,,,8,109,101,8,"Hartford","Bristol Police"
"Hartford","East Hartford Police",148,,116,,78,,,80,,69,,,50452,,23,,6,,5,,14,,,,,,,32,139,111,28,"Hartford","East Hartford Police"
"Hartford","Hartford Police",454,,351,,77,,,316,,90,,,139739,,25,,(21),,(21),,(23),,,,,,,103,577,443,134,"Hartford","Hartford Police"
"Hartford ","New Britain Police",172,,150,,87,,,90,,60,,,75491,,20,,(18),,6,,(68),,,,,,,22,210,142,68,"Hartford ","New Britain Police"
"Hartford","West Hartford Police",148,,124,,84,,,100,,81,,,60110,,21,,5,,1,,33,,,,,,,24,141,123,18,"Hartford","West Hartford Police"
"New Haven","Meriden Police",119,,102,,86,,,55,,54,,,59479,,17,,(12),,(13),,(6),,,,,,,17,135,117,18,"New Haven","Meriden Police"
"New Haven","Milford Police",123,,106,,86,,,53,,50,,,48168,,22,,2,,0,,13,,,,,,,17,121,106,15,"New Haven","Milford Police"
"New Haven","Waterbury Police",341,,289,,85,,,165,,57,,,108961,,27,,(6),,(8),,13,,,,,,,52,361,315,46,"New Haven","Waterbury Police"
