"Effect of change in sentence length on release date\a",77,22,0,3,25,25
"Total amount of good time credit available\a",78,37,2,2,41,10
"Actual amount good time credit accrued ",79,41,2,2,45,6
"Special credits (e.g., housing credits)",80,18,0,1,19,29
"Changes in available good time credits\a",81,28,1,3,32,18
"Date of good time credit calculation ",82,36,2,2,40,11
"Reason for change in good time credits\b",83,33,0,5,38,13
,,,,,,
"Note:  Data elements with incomplete information are included in 'Have in any format.'  Totals of 'Have in any format' ",,,,,,
"and 'Do not collect' may not add up to 52 departments due to missing  information about individual data elements.",,,,,,
"a\One department can calculate this information from other data elements.",,,,,,
"b\One department records this information only for misconduct in custody.",,,,,,
,,,,,,
,,,,,,
"Table 3.6.  Number of departments with data elements that describe releases from custody",,,,,,
,,,,,,
,,"In electronic format for--",,,,
,"Questionnaire","More than 75%","Less than 75%","In paper","Have it in","Do not"
"Data element","item number","of offenders","of offenders","format","any format","collect"
"Type of release\a",149,52,0,0,52,0
"Date of release\b",150,52,0,0,52,0
"Time served in custody\b",151,34,0,3,37,15
"Agency gaining jurisdiction of offender on release",152,29,3,7,39,13
"Type of facility released to\c",153,36,0,3,39,11
,,,,,,
"Note:  Data elements with incomplete information are included in 'Have in any format.'  Totals of 'Have in any format' ",,,,,,
"and 'Do not collect' may not add up to 52 departments due to missing  information about individual data elements.",,,,,,
"a\Several departments record the death of an offender, but not the cause of death.",,,,,,
"b\Several departments can calculate this information from other data elements.",,,,,,
"c\One department records this information only for transfers or furloughs.",,,,,,
,,,,,,
,,,,,,
"Table 3.7.  Number of departments with data elements that describe the offender registry",,,,,,
,,,,,,
,,"In electronic format for--",,,,
,"Questionnaire","More than 75%","Less than 75%","In paper","Have it in","Do not"
"Data element","item number","of offenders","of offenders","format","any format","collect"
"Requirement to register as sex offender\a",154,25,1,5,31,19
"Actually registered as sex offender",155,14,0,3,17,32
"Victim notification requirements\b",156,32,2,8,42,9
,,,,,,
"Note:  Data elements with incomplete information are included in 'Have in any format.'  Totals of 'Have in any format' ",,,,,,
"and 'Do not collect' may not add up to 52 departments due to missing  information about individual data elements.",,,,,,
"a\One department can calculate this information from other data elements.",,,,,,
"b\One department does not record this information for all offenses.",,,,,,
,,,,,,
,,,,,,
"Table 3.8.  Number of departments with data elements that describe misconduct and infractions",,,,,,
,,,,,,
,,"In electronic format for--",,,,
,"Questionnaire","More than 75%","Less than 75%","In paper","Have it in","Do not"
"Data element","item number","of offenders","of offenders","format","any format","collect"
"Results of last drug tests\a",119,12,4,16,32,20
"Most recent type of misconduct or infraction\b",120,33,5,9,47,5
"Date of event\b",121,34,4,8,46,5
"Location of event",122,25,4,13,42,10
"People involved in event",123,12,4,20,36,16
"Whom injury was sustained by",124,7,3,21,31,20
"Type of injury sustained",125,5,1,21,27,24
"Drugs/alcohol involved, if injury sustained",126,6,0,21,27,24
"Weapons involved, if injury sustained",127,9,2,19,30,22
"Property damage in dollars",128,7,0,17,24,27
"History of behavior in custody\b",129,27,2,12,41,10
,,,,,,
"Note:  Data elements with incomplete information are included in 'Have in any format.'  Totals of 'Have in any format' ",,,,,,
"and 'Do not collect' may not add up to 52 departments due to missing  information about individual data elements.",,,,,,
"a\One department records aggregate information electronically; individual offender information is recorded in paper format.",,,,,,
"b\One department records only infractions.",,,,,,
,,,,,,
,,,,,,
"Table 3.9.  Number of departments with data elements that describe responses to misconduct",,,,,,
,,,,,,
,,"In electronic format for--",,,,
,"Questionnaire","More than 75%","Less than 75%","In paper","Have it in","Do not"
"Data element","item number","of offenders","of offenders","format","any format","collect"
"Type of immediate response",130,12,4,18,34,18
"Date of immediate response",131,12,4,18,34,18
"Result of response",132,21,5,13,39,13
,,,,,,
"Note:  Data elements with incomplete information are included in 'Have in any format.'  Totals of 'Have in any format' ",,,,,,
"and 'Do not collect' may not add up to 52 departments due to missing  information about individual data elements.",,,,,,
,,,,,,
,,,,,,
"Table 3.10.  Number of departments with data elements that describe proceedings against offenders",,,,,,
,,,,,,
,,"In electronic format for--",,,,
,"Questionnaire","More than 75%","Less than 75%","In paper","Have it in","Do not"
"Data element","item number","of offenders","of offenders","format","any format","collect"
"Type of legal procedure",133,21,4,12,37,15
"Entity/person initiating response",134,16,3,16,35,17
"Date of legal procedure",135,20,4,12,36,16
"Charges filed",136,22,3,13,38,14
"Disposition of charges",137,26,4,8,39,13
,,,,,,
"Note:  Data elements with incomplete information are included in 'Have in any format.'  Totals of 'Have in any format' ",,,,,,
"and 'Do not collect' may not add up to 52 departments due to missing  information about individual data elements.",,,,,,
