,,,,,,,,,,,,,,,,
"LEMA938.csv//Report: Law Enforcement Management and Administrative Statistics, 1993",,,,,,,,,,,,,,,,
"Sources:  Law Enforcement Management and Administrative Statistics, 1993//BJS Contact: Brian Reaves, Ph.D., (202) 616-3287//reaves@justice. usdoj.gov",,,,,,,,,,,,,,,,
"Table 8a.  Starting salaries, collective bargaining, types of special pay, and officer membership organizations",,,,,,,,,,,,,,,,
"in local law enforcement agencies, 1993",,,,,,,,,,,,,,,,
,,,,,,"Agencies authorizing",,,,"Types of ",,"          Agencies authorizing ",,,,
"Anchorage","Anchorage Police",$69950,,$39354,,"X",,"X",,"H,S,E,M",,"-",,"X",,"-"
,,,,,,,,,,,,,,,,
"ARIZONA",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Maricopa","Maricopa County Sheriff",$65000,,$26603,,"-",,"-",,"S,E,M",,"-",,"X",,"-"
"Maricopa","Chandler Police",$61872,,$27624,,"-",,"-",,"-",,"-",,"X",,"-"
"Maricopa","Glendale Police",$61724,,$28650,,"-",,"-",,"H,E",,"-",,"X",,"-"
"Maricopa","Mesa Police",$62972,,$28470,,"-",,"-",,"M",,"-",,"X",,"X"
"Maricopa","Phoenix Police",$69992,,$27040,,"X",,"X",,"S,E,M",,"X",,"X",,"-"
"Maricopa","Scottsdale Police",$62962,,$29328,,"-",,"-",,"M",,"-",,"-",,"X"
"Maricopa","Tempe Police",$69459,,$29150,,"-",,"-",,"H,S,M",,"-",,"-",,"-"
"Pima","Pima County Sheriff","           ---",,$25440,,"X",,"X",,"H,S,E,M",,"-",,"X",,"-"
"Pima","Tucson Police",$57175,,$28548,,"X",,"-",,"H,S,M",,"-",,"X",,"-"
"Pinal","Pinal County Sheriff",$52000,,$24741,,"-",,"-",,"S",,"-",,"X",,"-"
,,,,,,,,,,,,,,,,
"ARKANSAS",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Jefferson","Pine Bluff Police",$37797,,$18784,,"-",,"-",,"-",,"-",,"X",,"X"
"Pulaski","Pulaski County Sheriff",$25000,,$18402,,"-",,"-",,"-",,"-",,"-",,"-"
"Pulaski","Little Rock Police","           ---",,$21212,,"X",,"X",,"E,M",,"-",,"X",,"-"
"Pulaski","North Little Rock Police",$57319,,$18630,,"-",,"-",,"E",,"-",,"X",,"X"
"Sebastian","Fort Smith Police",$43937,,$18949,,"-",,"-",,"E,M",,"-",,"X",,"X"
,,,,,,,,,,,,,,,,
"CALIFORNIA",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Alameda","Alameda County Sheriff",$127452,,$35220,,"X",,"X",,"H,E",,"X",,"-",,"-"
"Alameda","Berkeley Police",$84000,,$40920,,"X",,"X",,"H",,"-",,"X",,"-"
"Alameda","Fremont Police",$77180,,$43263,,"X",,"X",,"E",,"-",,"-",,"X"
"Alameda","Hayward Police",$85051,,$41309,,"X",,"X",,"E",,"-",,"-",,"X"
"Alameda","Oakland Police",$124548,,$41976,,"X",,"X",,"H,E",,"-",,"X",,"-"
"Contra Costa","Contra Costa County Sheriff",$104196,,$36468,,"X",,"X",,"H,S,E",,"-",,"-",,"X"
"Contra Costa","Concord Police",$105000,,$38244,,"X",,"X",,"S,E,M",,"-",,"-",,"X"
"Contra Costa","Richmond Police",$100000,,$48000,,"X",,"X",,"S,E",,"X",,"-",,"X"
"El Dorado","El Dorado County Sheriff",$73164,,$30384,,"X",,"X",,"H,E,M",,"-",,"-",,"X"
"Fresno","Fresno County Sheriff",$93605,,$31608,,"X",,"-",,"-",,"-",,"-",,"X"
"Fresno","Fresno Police",$79200,,$35940,,"X",,"X",,"E",,"-",,"-",,"X"
"Kern ","Kern County Sheriff",$100855,,$30960,,"X",,"X",,"H,S,E,M",,"-",,"X",,"-"
"Kern","Bakersfield Police",$70170,,$34270,,"X",,"X",,"H,E,M",,"-",,"-",,"X"
"Los Angeles","Los Angeles County Sheriff",$192528,,$37330,,"X",,"X",,"H,E,M",,"X",,"X",,"-"
"Los Angeles","Beverly Hills Police",$54000,,$38737,,"X",,"X",,"S,E",,"-",,"X",,"-"
"Los Angeles","Burbank Police",$86472,,$43140,,"X",,"X",,"H,S,E",,"-",,"-",,"X"
"Los Angeles","Compton Police",$73452,,$35688,,"X",,"X",,"E,M",,"-",,"-",,"X"
"Los Angeles","Culver City Police",$93600,,$39520,,"X",,"X",,"E",,"-",,"-",,"X"
"Los Angeles","Downey Police",$75708,,$36396,,"X",,"X",,"E,M",,"-",,"-",,"X"
"Los Angeles","El Monte Police",$71364,,$34788,,"X",,"X",,"E",,"-",,"-",,"X"
"Los Angeles","Glendale Police",$101172,,$40404,,"X",,"X",,"H,E,M",,"-",,"X",,"-"
"Los Angeles","Inglewood Police",$81760,,$37625,,"X",,"X",,"H,E,M",,"-",,"X",,"-"
"Los Angeles","Long Beach Police",$90000,,$34195,,"X",,"X",,"H,E,M",,"X",,"X",,"X"
"Los Angeles","Los Angeles Police",$168147,,$33030,,"X",,"X",,"H,E,M",,"-",,"X",,"-"
"Los Angeles","Los Angeles Airport Police",$53264,,$31549,,"X",,"X",,"E",,"-",,"-",,"X"
"Los Angeles","Los Angeles School Police",$66547,,$35074,,"X",,"-",,"E",,"-",,"-",,"-"
"Los Angeles","Pasadena Police",$105903,,$39744,,"-",,"-",,"H,E",,"-",,"-",,"X"
"Los Angeles","Pomona Police",$87168,,$34956,,"X",,"X",,"E",,"-",,"-",,"X"
"Los Angeles","Santa Monica Police",$88284,,$40680,,"X",,"X",,"H,E",,"-",,"-",,"X"
"Los Angeles","Torrance Police",$86100,,$38760,,"X",,"X",,"H,S,E",,"-",,"X",,"X"
"Los Angeles","West Covina Police",$70716,,$36480,,"X",,"X",,"E,M",,"-",,"-",,"X"
"Marin","Marin County Sheriff",$91520,,$37960,,"X",,"X",,"S,E",,"-",,"X",,"X"
"Monterey","Monterey County Sheriff",$79488,,$30132,,"X",,"X",,"E",,"-",,"X",,"-"
"Monterey","Salinas Police",$67392,,$36108,,"X",,"X",,"E,M",,"X",,"-",,"X"
,,,,,,,,,,,,"      Expenditures and pay   85",,,,
,,,,,,,,,,,,,,,,
"Table 8a. - continued",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,"Agencies authorizing",,,,"Types of ",,"          Departments authorizing ",,,,
,,"Base annual starting salary",,,,"collective bargaining for:",,,,"special pay",,"          officer membership in:",,,,
,,"     Chief or",,"  Entry-level",," Sworn",," Civilian",,"authorized",,"  Nonpolice",,"Police",," Police"
"County","Name of agency","     Sheriff",,"  officer",," employees",," employees",,"for officers",,"  union",,"union",," association"
,,,,,,,,,,,,,,,,
"CALIFORNIA (cont.)",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Orange","Orange County Sheriff-Coroner",$110136,,$36504,,"X",,"X",,"H,S,E,M",,"-",,"X",,"-"
"Orange","Anaheim Police",$86255,,$34736,,"X",,"X",,"H,S,E,M",,"-",,"X",,"X"
"Orange","Brea Police",$86508,,$36084,,"X",,"X",,"H,M",,"-",,"-",,"X"
"Orange","Costa Mesa Police",$72041,,$38364,,"X",,"X",,"H,E,M",,"-",,"-",,"X"
"Orange","Fullerton Police",$98000,,$42470,,"X",,"X",,"H,S,E,M",,"-",,"-",,"X"
"Orange","Garden Grove Police",$72588,,$36924,,"X",,"X",,"E",,"-",,"-",,"X"
"Orange","Huntington Beach Police",$90900,,$40104,,"X",,"X",,"H,E",,"-",,"-",,"X"
"Orange","Irvine Police",$61044,,$38616,,"X",,"X",,"H,E,M",,"-",,"-",,"X"
"Orange","Newport Beach Police",$100000,,$35000,,"X",,"X",,"E",,"-",,"-",,"X"
"Orange","Orange Police",$76452,,$36180,,"X",,"X",,"H,E",,"-",,"-",,"X"
"Orange","Santa Ana Police",$85728,,$43896,,"X",,"X",,"E,M",,"-",,"-",,"X"
"Riverside","Riverside County Sheriff",$92280,,$33720,,"X",,"X",,"H,M",,"-",,"X",,"-"
"Riverside","Corona Police",$93360,,$34008,,"X",,"X",,"E",,"-",,"-",,"X"
"Riverside","Riverside Police",$79236,,$28536,,"-",,"-",,"H,E",,"-",,"-",,"X"
"Sacramento","Sacramento County Sheriff",$101456,,$31445,,"X",,"X",,"H,E",,"-",,"-",,"X"
"Sacramento","Sacramento Police",$82880,,$34022,,"X",,"X",,"H,E,M",,"-",,"-",,"X"
"San Bernardino","San Bernardino County Sheriff",$99809,,$30276,,"X",,"X",,"H,E",,"-",,"-",,"X"
"San Bernardino","Fontana Police",$83545,,$36986,,"X",,"X",,"S,E,M",,"-",,"X",,"-"
"San Bernardino","Ontario Police",$82085,,$38424,,"X",,"X",,"S",,"-",,"-",,"X"
"San Bernardino","Rialto Police",$70860,,$37824,,"X",,"X",,"H,E",,"-",,"-",,"X"
"San Bernardino","San Bernardino Police",$96696,,$36300,,"X",,"X",,"H,E",,"-",,"-",,"X"
"San Diego","San Diego County Sheriff",$93363,,$29835,,"X",,"X",,"H,E",,"-",,"X",,"X"
"San Diego","Chula Vista Police",$80688,,$37607,,"X",,"X",,"E,M",,"-",,"X",,"X"
"San Diego","El Cajon Police",$76347,,$30618,,"X",,"X",,"E,M",,"-",,"-",,"X"
"San Diego","Escondido Police",$67596,,$31416,,"X",,"X",,"E",,"-",,"-",,"X"
"San Diego","Oceanside Police",$83285,,$31345,,"X",,"X",,"S,E",,"-",,"-",,"X"
"San Diego","San Diego Police",$58776,,$29196,,"X",,"X",,"E",,"-",,"-",,"X"
"San Diego","San Diego Harbor Police",$59000,,$36000,,"X",,"-",,"E,M",,"-",,"X",,"-"
"San Francisco","San Francisco Police",$124210,,$41864,,"X",,"X",,"H,S,E",,"-",,"X",,"-"
"San Francisco","Bay Area Rapid Transit Police",$60618,,$38486,,"X",,"X",,"S,E",,"-",,"-",,"X"
"San Francisco","San Francisco Airport Police",$88000,,$41000,,"X",,"-",,"H,S,E",,"-",,"-",,"X"
"San Joaquin","San Joaquin County Sheriff",$92934,,$29536,,"X",,"X",,"H,S,E,M",,"-",,"X",,"X"
"San Joaquin","Stockton Police",$73932,,$32772,,"X",,"X",,"E",,"-",,"-",,"X"
"San Luis Obispo","San Luis Obispo County Sheriff",$71460,,$34272,,"X",,"X",,"H,E",,"-",,"-",,"X"
"San Mateo","San Mateo County Sheriff",$95742,,$37440,,"X",,"X",,"H,S,E",,"-",,"-",,"X"
"San Mateo","Daly City Police",$105898,,$35438,,"X",,"X",,"H,E,M",,"-",,"-",,"X"
"Santa Barbara","Santa Barbara County Sheriff",$117000,,$32532,,"X",,"X",,"H,E",,"-",,"-",,"X"
"Santa Barbara","Santa Barbara Police",$84243,,$34741,,"-",,"-",,"E,M",,"-",,"X",,"-"
"Santa Clara","Santa Clara County Sheriff",$97453,,$39365,,"X",,"X",,"H,S,E",,"-",,"-",,"X"
"Santa Clara","San Jose Police",$97074,,$34653,,"X",,"X",,"H,E",,"-",,"-",,"X"
"Santa Clara","Santa Clara Police",$123816,,$50244,,"X",,"-",,"H,S",,"-",,"X",,"X"
"Santa Clara ","Sunnyvale Police",$91368,,$45860,,"X",,"X",,"H,S,E",,"-",,"-",,"X"
"Santa Cruz","Santa Cruz County Sheriff",$92560,,$33072,,"X",,"X",,"S,E",,"-",,"X",,"-"
"Solano","Vallejo Police",$82668,,$44307,,"X",,"X",,"H,E",,"-",,"-",,"X"
"Sonoma","Sonoma County Sheriff-Coroner",$100334,,$42118,,"X",,"X",,"H,E",,"-",,"X",,"X"
"Sonoma","Santa Rosa Police",$76560,,$38556,,"X",,"X",,"H,S,M",,"-",,"-",,"X"
"Stanislaus","Stanislaus County Sheriff",$84068,,$33633,,"X",,"X",,"H,E",,"-",,"-",,"X"
"Stanislaus","Modesto Police",$75132,,$33372,,"X",,"X",,"M",,"X",,"-",,"-"
"Tulare","Tulare County Sheriff",$60223,,$25312,,"X",,"X",,"H,E",,"-",,"-",,"X"
"Ventura","Ventura County Sheriff",$122621,,$29731,,"X",,"X",,"H,E",,"-",,"X",,"X"
"Ventura","Oxnard Police",$74700,,$35523,,"X",,"X",,"H,E",,"-",,"-",,"X"
"Ventura","Simi Valley Police",$76470,,$35454,,"X",,"X",,"H,E,M",,"-",,"X",,"X"
"Ventura","Ventura Police",$70559,,$33391,,"X",,"-",,"H,E,M",,"-",,"-",,"X"
,,,,,,,,,,,,,,,,
"COLORADO",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Adams","Adams County Sheriff",$56400,,$23628,,"-",,"-",,"-",,"-",,"X",,"-"
"Adams","Westminster Police",$62650,,$27564,,"-",,"-",,"M",,"-",,"-",,"-"
"Arapahoe","Arapahoe County Sheriff",$56400,,$26604,,"-",,"-",,"M",,"-",,"X",,"-"
"Arapahoe","Aurora Police",$60774,,$26706,,"X",,"-",,"H,S,E,M",,"-",,"-",,"X"
"Boulder","Boulder Police",$62289,,$26809,,"X",,"X",,"M",,"-",,"-",,"X"
"Denver","Denver Police",$82032,,$26688,,"-",,"-",,"H,S",,"-",,"-",,"X"
"El Paso","El Paso County Sheriff",$56400,,$23414,,"-",,"-",,"M",,"-",,"-",,"X"
"El Paso","Colorado Springs Police",$60192,,$26784,,"-",,"-",,"H,S,E",,"-",,"X",,"X"
"Jefferson","Jefferson County Sheriff",$56400,,$26484,,"-",,"-",,"H,M",,"-",,"X",,"-"
"Jefferson","Arvada Police",$52272,,$25200,,"-",,"-",,"-",,"-",,"-",,"-"
"Jefferson","Lakewood Police",$56700,,$29369,,"-",,"-",,"-",,"-",,"X",,"-"
"Larimer","Larimer County Sheriff",$56400,,$24012,,"-",,"-",,"M",,"-",,"X",,"-"
"Larimer","Fort Collins Police",$74500,,$30394,,"-",,"-",,"-",,"-",,"X",,"-"
"Pueblo","Pueblo Police",$61920,,$22884,,"X",,"X",,"H,S,E",,"-",,"X",,"X"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"86   Law Enforcement Management and Administrative Statistics, 1993",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Table 8a. - continued",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,"Agencies authorizing",,,,"Types of ",,"          Departments authorizing ",,,,
,,"Base annual starting salary",,,,"collective bargaining for:",,,,"special pay",,"          officer membership in:",,,,
,,"     Chief or",,"  Entry-level",," Sworn",," Civilian",,"authorized",,"  Nonpolice",,"Police",," Police"
"County","Name of agency","     Sheriff",,"  officer",," employees",," employees",,"for officers",,"  union",,"union",," association"
,,,,,,,,,,,,,,,,
"CONNECTICUT",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Fairfield","Bridgeport Police",$75878,,$28872,,"X",,"X",,"S",,"X",,"X",,"-"
"Fairfield","Danbury Police",$72302,,$30597,,"X",,"X",,"E",,"-",,"X",,"-"
"Fairfield","Greenwich Police",$56000,,$33555,,"X",,"X",,"S,E",,"-",,"-",,"X"
"Fairfield","Norwalk Police",$78321,,$34508,,"X",,"X",,"S,E",,"-",,"X",,"X"
"Fairfield","Stamford Police",$80000,,$30000,,"X",,"X",,"S,E",,"X",,"-",,"-"
"Hartford","Bristol Police",$70000,,$31000,,"X",,"X",,"S,E",,"X",,"-",,"-"
"Hartford","East Hartford Police",$62457,,$35000,,"X",,"X",,"-",,"-",,"X",,"X"
"Hartford","Hartford Police",$57694,,$37102,,"X",,"X",,"E",,"-",,"X",,"-"
"Hartford ","New Britain Police",$59000,,$36000,,"X",,"X",,"S,E",,"-",,"X",,"-"
"Hartford","West Hartford Police",$72000,,$34762,,"X",,"X",,"E,M",,"-",,"X",,"-"
"New Haven","Meriden Police",$64829,,$28802,,"X",,"X",,"S,E",,"-",,"X",,"-"
"New Haven","Milford Police",$62301,,$31558,,"X",,"X",,"S,E",,"X",,"-",,"X"
"New Haven","Waterbury Police",$55000,,$25000,,"X",,"X",,"E",,"-",,"X",,"X"
"New Haven","West Haven Police",$60759,,$28706,,"X",,"X",,"S,E",,"-",,"X",,"-"
,,,,,,,,,,,,,,,,
"DELAWARE",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"New Castle","New Castle County Police",$52710,,$27403,,"X",,"X",,"S,E,M",,"-",,"X",,"-"
"New Castle","Wilmington Police",$65000,,$27652,,"X",,"X",,"S,M",,"-",,"X",,"-"
,,,,,,,,,,,,,,,,
"DISTRICT OF COLUMBIA",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Washington, D.C.","Washington Metropolitan Police",$86296,,$25108,,"X",,"X",,"H,S",,"-",,"X",,"X"
"Washington, D.C.","Metro Transit Police",$61207,,$26603,,"X",,"X",,"S",,"X",,"X",,"X"
"Washington, D.C.","Metropolitan Airports Authority",$53640,,$26820,,"X",,"X",,"H,S",,"-",,"X",,"-"
,,,,,,,,,,,,,,,,
"FLORIDA",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Alachua","Alachua County Sheriff",$79977,,$21038,,"-",,"-",,"E",,"X",,"-",,"-"
"Alachua","Gainesville Police",$48000,,$18000,,"X",,"X",,"H,E,M",,"-",,"X",,"-"
"Bay","Bay County Sheriff",$76429,,$16952,,"-",,"-",,"E",,"-",,"-",,"-"
"Brevard","Brevard County Sheriff",$88775,,$21195,,"-",,"-",,"E,M",,"-",,"-",,"-"
"Brevard","Melbourne Police",$44338,,$22823,,"X",,"-",,"H,E",,"-",,"X",,"X"
"Broward","Broward County Sheriff",$98947,,$26685,,"X",,"X",,"H,E,M",,"-",,"X",,"-"
"Broward","Coral Springs Police",$56667,,$30783,,"X",,"-",,"H,E,M",,"-",,"X",,"-"
"Broward","Davie Police",$70000,,$27632,,"X",,"X",,"H,E",,"-",,"X",,"-"
"Broward","Fort Lauderdale Police",$64875,,$29473,,"X",,"X",,"E",,"-",,"X",,"-"
"Broward","Hollywood Police",$86531,,$31385,,"X",,"X",,"S,E,M",,"-",,"X",,"-"
"Broward","Pembroke Pines Police",$47000,,$27334,,"X",,"X",,"H,S,E,M",,"-",,"X",,"-"
"Broward","Plantation Police",$64900,,$26750,,"X",,"-",,"H,S,E,M",,"-",,"X",,"-"
"Broward","Pompano Beach Police",$53063,,$29250,,"X",,"X",,"E,M",,"-",,"X",,"-"
"Broward","Sunrise Police",$65411,,$29829,,"X",,"X",,"H,E,M",,"-",,"X",,"-"
"Charlotte","Charlotte County Sheriff",$65000,,$20000,,"-",,"-",,"E,M",,"-",,"X",,"-"
"Citrus","Citrus County Sheriff",$70139,,$19538,,"-",,"-",,"H,E,M",,"-",,"-",,"-"
"Clay","Clay County Sheriff",$72800,,$22300,,"-",,"-",,"S,E,M",,"-",,"X",,"-"
"Collier","Collier County Sheriff",$76552,,$20570,,"-",,"-",,"H,E",,"-",,"-",,"-"
"Dade","Metro-Dade Police",$77214,,$23509,,"X",,"X",,"H,S,E,M",,"-",,"X",,"-"
"Dade","Coral Gables Police",$58948,,$28925,,"X",,"X",,"H,S,E,M",,"X",,"X",,"-"
"Dade","Hialeah Police",$99154,,$30510,,"X",,"X",,"H,E,M",,"X",,"X",,"-"
"Dade","Miami Police",$77230,,$25472,,"X",,"X",,"H,S,E,M",,"-",,"X",,"X"
"Dade","Miami Beach Police",$86000,,$23000,,"X",,"X",,"H,S,E,M",,"-",,"X",,"-"
"Duval ","Jacksonville Sheriff",$98623,,$27931,,"X",,"X",,"S,E,M",,"-",,"X",,"-"
"Escambia","Escambia County Sheriff",$83530,,$18640,,"X",,"-",,"H,E,M",,"-",,"X",,"-"
"Escambia","Pensacola Police",$30000,,$19370,,"-",,"-",,"S,E",,"-",,"-",,"X"
"Hernando","Hernando County Sheriff",$74876,,$20668,,"-",,"-",,"E,M",,"-",,"-",,"-"
"Hillsborough","Hillsborough County Sheriff",$92429,,$25596,,"-",,"-",,"H,E",,"-",,"X",,"-"
"Hillsborough","Tampa Police",$54371,,$27289,,"X",,"X",,"H,S,E,M",,"-",,"-",,"X"
"Indian River","Indian River County Sheriff",$73425,,$18976,,"-",,"-",,"M",,"-",,"-",,"-"
"Lake","Lake County Sheriff",$78254,,$20758,,"-",,"-",,"E",,"-",,"-",,"-"
"Lee","Lee County Sheriff",$91404,,$19000,,"-",,"-",,"E,M",,"-",,"-",,"-"
"Lee","Cape Coral Police",$45787,,$23454,,"X",,"-",,"E",,"-",,"X",,"-"
"Lee","Fort Myers Police",$99345,,$23421,,"X",,"X",,"E",,"-",,"X",,"X"
"Leon","Leon County Sheriff","           ---",,"           ---",,"-",,"-",,"E,M",,"-",,"-",,"-"
"Leon","Tallahassee Police",$53331,,$25313,,"X",,"-",,"E,M",,"X",,"-",,"-"
"Manatee","Manatee County Sheriff",$81598,,$18849,,"-",,"-",,"H,E",,"-",,"-",,"-"
"Marion","Marion County Sheriff",$82368,,$18815,,"-",,"-",,"H,E,M",,"-",,"X",,"-"
"Marion","Ocala Police",$44343,,$19807,,"X",,"-",,"S,E",,"-",,"X",,"-"
"Martin","Martin County Sheriff",$74791,,$22959,,"-",,"-",,"H,E",,"-",,"-",,"-"
"Monroe","Monroe County Sheriff",$71204,,$24477,,"-",,"-",,"S,E,M",,"-",,"X",,"-"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"            Expenditures and pay   87",,,,
,,,,,,,,,,,,,,,,
"Table 8a. - continued",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,"Agencies authorizing",,,,"Types of ",,"          Departments authorizing ",,,,
,,"Base annual starting salary",,,,"collective bargaining for:",,,,"special pay",,"          officer membership in:",,,,
,,"     Chief or",,"  Entry-level",," Sworn",," Civilian",,"authorized",,"  Nonpolice",,"Police",," Police"
"County","Name of agency","     Sheriff",,"  officer",," employees",," employees",,"for officers",,"  union",,"union",," association"
,,,,,,,,,,,,,,,,
"FLORIDA (cont.)",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Okaloosa","Okaloosa County Sheriff",$77500,,$15800,,"-",,"-",,"E",,"-",,"-",,"-"
"Orange","Orange County Sheriff",$92605,,$23441,,"-",,"-",,"H,E,M",,"-",,"X",,"-"
"Orange","Orlando Police",$86091,,$23930,,"X",,"-",,"S,E,M",,"-",,"X",,"-"
"Osceola","Osceola County Sheriff",$75519,,$20429,,"-",,"-",,"E",,"-",,"-",,"-"
"Palm Beach","Palm Beach County Sheriff",$94691,,$24624,,"-",,"-",,"E,M",,"X",,"-",,"X"
"Palm Beach","Boca Raton Police",$53685,,$28642,,"X",,"-",,"E,M",,"-",,"X",,"-"
"Palm Beach","Boynton Beach Police",$54745,,$29556,,"X",,"X",,"H,M",,"-",,"X",,"X"
"Palm Beach","Delray Beach Police",$51500,,$27486,,"X",,"-",,"E,M",,"-",,"-",,"-"
"Palm Beach","West Palm Beach Police",$53975,,$26894,,"X",,"-",,"H,E,M",,"-",,"X",,"X"
"Pasco","Pasco County Sheriff",$84149,,$21563,,"-",,"-",,"E",,"-",,"-",,"-"
"Pinellas","Pinellas County Sheriff",$94591,,$23428,,"-",,"-",,"S,E,M",,"-",,"X",,"-"
"Pinellas","Clearwater Police",$47299,,$24698,,"X",,"X",,"S,E,M",,"-",,"X",,"-"
"Pinellas","Largo Police",$45344,,$24148,,"X",,"X",,"S,E",,"-",,"X",,"-"
"Pinellas","St. Petersburg Police",$70300,,$25072,,"X",,"X",,"S,E,M",,"-",,"X",,"-"
"Polk","Polk County Sheriff",$90481,,$20476,,"-",,"-",,"E",,"-",,"X",,"-"
"Polk","Lakeland Police",$63835,,$24068,,"-",,"-",,"H,E",,"-",,"-",,"-"
"St. John","St. John County Sheriff",$72452,,$19300,,"-",,"-",,"E",,"-",,"-",,"-"
"St. Lucie","St. Lucie County Sheriff",$81360,,$19052,,"-",,"-",,"E,M",,"-",,"-",,"X"
"St. Lucie","Fort Pierce Police",$43205,,$22131,,"X",,"X",,"H,E",,"-",,"X",,"-"
"Sarasota","Sarasota County Sheriff",$82226,,$18000,,"-",,"-",,"H,E,M",,"-",,"-",,"-"
"Sarasota","Sarasota Police",$73723,,$25438,,"X",,"X",,"E",,"-",,"X",,"-"
"Seminole","Seminole County Sheriff",$84801,,$21063,,"-",,"-",,"E,M",,"-",,"-",,"-"
"Volusia","Volusia County Sheriff",$89473,,$19105,,"X",,"-",,"E",,"-",,"X",,"-"
"Volusia","Daytona Beach Police",$48006,,$22152,,"-",,"-",,"H,S,E,M",,"-",,"X",,"-"
,,,,,,,,,,,,,,,,
"GEORGIA",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Bibb","Bibb County Sheriff",$48131,,$17888,,"-",,"-",,"E,M",,"-",,"-",,"-"
"Bibb","Macon Police",$57700,,$18429,,"-",,"-",,"E",,"-",,"-",,"-"
"Chatham","Chatham County Police",$72500,,$18896,,"-",,"-",,"-",,"-",,"X",,"-"
"Chatham","Savannah Police",$59902,,$20983,,"-",,"-",,"-",,"X",,"-",,"-"
"Clarke","Athens-Clarke County Police",$42972,,$18886,,"-",,"-",,"-",,"-",,"-",,"X"
"Clayton","Clayton County Police",$55220,,$21607,,"-",,"-",,"M",,"-",,"X",,"X"
"Cobb","Cobb County Police",$56920,,$21716,,"-",,"-",,"E",,"X",,"-",,"X"
"Cobb","Cobb County Sheriff",$58036,,$21716,,"-",,"-",,"M",,"-",,"-",,"-"
"Cobb","Marietta Police",$48859,,$22298,,"-",,"-",,"S",,"-",,"-",,"X"
